,team_long_name,team_id,season,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,field players rating,gk rating
17,Arsenal,9825.0,2010/2011,75,Fast,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover,81.21666666666667,76.0
18,Arsenal,9825.0,2011/2012,25,Slow,Little,32,Short,Organised,41,Normal,34,Normal,30,Little,Free Form,57,Medium,57,Press,52,Normal,Cover,80.03333333333333,80.0
19,Arsenal,9825.0,2012/2013,30,Slow,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover,79.775,77.75
20,Arsenal,9825.0,2013/2014,30,Slow,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover,80.94117647058823,80.0
21,Arsenal,9825.0,2014/2015,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,78.64666666666666,77.93333333333334
22,Arsenal,9825.0,2015/2016,59,Balanced,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,80.47894736842105,85.15789473684211
23,West Bromwich Albion,8659.0,2008/2009,65,Balanced,Little,40,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,70.27222222222223,75.44444444444444
24,West Bromwich Albion,8659.0,2010/2011,60,Balanced,Little,65,Mixed,Organised,40,Normal,50,Normal,45,Normal,Organised,35,Medium,55,Press,60,Normal,Cover,72.84057971014492,74.71428571428571
25,West Bromwich Albion,8659.0,2011/2012,48,Balanced,Little,48,Mixed,Organised,45,Normal,60,Normal,54,Normal,Organised,38,Medium,38,Press,52,Normal,Cover,72.84126984126983,77.46153846153847
26,West Bromwich Albion,8659.0,2012/2013,55,Balanced,Little,54,Mixed,Organised,57,Normal,53,Normal,57,Normal,Organised,33,Deep,31,Contain,49,Normal,Cover,72.81428571428572,77.28571428571429
27,West Bromwich Albion,8659.0,2013/2014,55,Balanced,Little,54,Mixed,Organised,57,Normal,53,Normal,57,Normal,Organised,33,Deep,31,Contain,49,Normal,Cover,73.5764705882353,75.88235294117646
28,West Bromwich Albion,8659.0,2014/2015,55,Balanced,Normal,51,Mixed,Organised,53,Normal,53,Normal,57,Normal,Organised,41,Medium,40,Press,49,Normal,Cover,73.33636363636364,76.63636363636364
29,West Bromwich Albion,8659.0,2015/2016,62,Balanced,Little,51,Mixed,Organised,53,Normal,50,Normal,60,Normal,Organised,41,Medium,40,Press,49,Normal,Cover,74.49545454545455,75.18181818181819
30,Sunderland,8472.0,2008/2009,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,74.04444444444445,71.0
31,Sunderland,8472.0,2009/2010,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,75.24,75.66666666666667
32,Sunderland,8472.0,2010/2011,55,Balanced,Little,55,Mixed,Organised,55,Normal,65,Normal,55,Normal,Organised,45,Medium,55,Press,65,Normal,Cover,76.11428571428571,76.14285714285714
33,Sunderland,8472.0,2011/2012,67,Fast,Little,62,Mixed,Organised,44,Normal,72,Lots,59,Normal,Organised,47,Medium,53,Press,60,Normal,Cover,75.45,74.0
34,Sunderland,8472.0,2012/2013,57,Balanced,Little,66,Mixed,Organised,56,Normal,31,Little,72,Lots,Organised,47,Medium,52,Press,49,Normal,Cover,75.17777777777778,76.0
35,Sunderland,8472.0,2013/2014,57,Balanced,Little,66,Mixed,Organised,56,Normal,31,Little,72,Lots,Organised,47,Medium,52,Press,49,Normal,Cover,73.38461538461539,71.92307692307692
36,Sunderland,8472.0,2014/2015,60,Balanced,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover,73.88947368421053,74.0
37,Sunderland,8472.0,2015/2016,43,Balanced,Normal,51,Mixed,Organised,59,Normal,50,Normal,55,Normal,Organised,47,Medium,45,Press,49,Normal,Cover,74.95555555555555,74.72222222222223
38,Liverpool,8650.0,2008/2009,50,Balanced,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,81.33888888888889,84.0
39,Liverpool,8650.0,2009/2010,50,Balanced,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,82.02222222222223,84.0
40,Liverpool,8650.0,2010/2011,60,Balanced,Little,50,Mixed,Organised,40,Normal,45,Normal,60,Normal,Organised,55,Medium,55,Press,50,Normal,Cover,79.3,85.0
41,Liverpool,8650.0,2011/2012,60,Balanced,Little,60,Mixed,Organised,48,Normal,73,Lots,53,Normal,Organised,50,Medium,48,Press,62,Normal,Cover,79.6875,85.0
42,Liverpool,8650.0,2012/2013,39,Balanced,Little,44,Mixed,Organised,42,Normal,34,Normal,54,Normal,Organised,59,Medium,52,Press,61,Normal,Cover,79.34545454545454,79.45454545454545
43,Liverpool,8650.0,2013/2014,39,Balanced,Little,44,Mixed,Organised,42,Normal,34,Normal,54,Normal,Organised,59,Medium,52,Press,61,Normal,Cover,79.04444444444445,81.0
44,Liverpool,8650.0,2014/2015,71,Fast,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover,78.48235294117647,79.47058823529412
45,Liverpool,8650.0,2015/2016,66,Balanced,Normal,45,Mixed,Organised,34,Normal,34,Normal,46,Normal,Organised,51,Medium,52,Press,61,Normal,Cover,78.29444444444445,77.44444444444444
46,West Ham United,8654.0,2008/2009,58,Balanced,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,74.56852791878173,80.0
47,West Ham United,8654.0,2009/2010,58,Balanced,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,73.27857142857142,81.0
48,West Ham United,8654.0,2010/2011,35,Balanced,Little,35,Mixed,Organised,30,Safe,45,Normal,45,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,72.82307692307693,77.3076923076923
49,West Ham United,8654.0,2012/2013,72,Fast,Little,73,Long,Organised,61,Normal,74,Lots,32,Little,Organised,30,Deep,37,Press,41,Normal,Cover,72.4,72.0
50,West Ham United,8654.0,2013/2014,72,Fast,Little,73,Long,Organised,61,Normal,74,Lots,32,Little,Organised,30,Deep,37,Press,41,Normal,Cover,73.10526315789474,74.15789473684211
51,West Ham United,8654.0,2014/2015,72,Fast,Normal,73,Long,Organised,68,Risky,71,Lots,32,Little,Organised,30,Deep,34,Press,41,Normal,Cover,73.575,77.0
52,West Ham United,8654.0,2015/2016,77,Fast,Normal,57,Mixed,Organised,68,Risky,73,Lots,29,Little,Organised,30,Deep,37,Press,41,Normal,Cover,76.04651162790698,76.61538461538461
53,Wigan Athletic,8528.0,2008/2009,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,73.89166666666667,76.0
54,Wigan Athletic,8528.0,2009/2010,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,74.43636363636364,75.18181818181819
55,Wigan Athletic,8528.0,2010/2011,35,Balanced,Little,50,Mixed,Organised,45,Normal,65,Normal,50,Normal,Organised,45,Medium,55,Press,65,Normal,Cover,72.35555555555555,74.0
56,Wigan Athletic,8528.0,2011/2012,38,Balanced,Little,38,Mixed,Organised,54,Normal,42,Normal,42,Normal,Organised,40,Medium,42,Press,44,Normal,Cover,71.52,77.0
57,Wigan Athletic,8528.0,2012/2013,38,Balanced,Little,39,Mixed,Organised,43,Normal,42,Normal,34,Normal,Free Form,56,Medium,52,Press,44,Normal,Cover,73.4875,78.25
58,Aston Villa,10252.0,2008/2009,70,Fast,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,78.70526315789473,82.0
59,Aston Villa,10252.0,2009/2010,70,Fast,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,80.10909090909091,82.0
60,Aston Villa,10252.0,2010/2011,65,Balanced,Little,50,Mixed,Organised,45,Normal,55,Normal,50,Normal,Organised,35,Medium,45,Press,65,Normal,Cover,78.14,80.0
61,Aston Villa,10252.0,2011/2012,67,Fast,Little,58,Mixed,Organised,44,Normal,60,Normal,56,Normal,Organised,43,Medium,50,Press,52,Normal,Cover,74.775,81.125
62,Aston Villa,10252.0,2012/2013,63,Balanced,Little,59,Mixed,Organised,52,Normal,55,Normal,34,Normal,Organised,39,Medium,41,Press,54,Normal,Cover,71.71,76.0
63,Aston Villa,10252.0,2013/2014,63,Balanced,Little,59,Mixed,Organised,52,Normal,55,Normal,34,Normal,Organised,39,Medium,41,Press,54,Normal,Cover,72.62941176470588,79.0
64,Aston Villa,10252.0,2014/2015,66,Balanced,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover,73.83333333333333,76.66666666666667
65,Aston Villa,10252.0,2015/2016,63,Balanced,Normal,54,Mixed,Organised,60,Normal,48,Normal,38,Normal,Organised,35,Medium,44,Press,54,Normal,Cover,74.42777777777778,74.33333333333333
66,Manchester City,8456.0,2008/2009,70,Fast,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,78.33636363636364,81.36363636363636
67,Manchester City,8456.0,2009/2010,70,Fast,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,81.43537414965986,83.4
68,Manchester City,8456.0,2010/2011,70,Fast,Little,60,Mixed,Organised,70,Risky,65,Normal,75,Lots,Free Form,65,Medium,65,Press,50,Normal,Cover,80.98571428571428,82.0
69,Manchester City,8456.0,2011/2012,45,Balanced,Little,55,Mixed,Organised,40,Normal,38,Normal,48,Normal,Free Form,50,Medium,60,Press,54,Normal,Cover,83.08,83.0
70,Manchester City,8456.0,2012/2013,36,Balanced,Little,34,Mixed,Organised,39,Normal,44,Normal,38,Normal,Free Form,42,Medium,44,Press,54,Normal,Cover,82.71,84.0
71,Manchester City,8456.0,2013/2014,36,Balanced,Little,34,Mixed,Organised,39,Normal,44,Normal,38,Normal,Free Form,42,Medium,44,Press,54,Normal,Cover,82.77894736842106,81.3157894736842
72,Manchester City,8456.0,2014/2015,59,Balanced,Normal,29,Short,Organised,32,Safe,49,Normal,62,Normal,Organised,42,Medium,44,Press,54,Normal,Cover,82.26086956521739,82.65217391304348
73,Manchester City,8456.0,2015/2016,59,Balanced,Normal,29,Short,Free Form,38,Normal,36,Normal,24,Little,Free Form,48,Medium,47,Press,54,Normal,Cover,81.8952380952381,84.23809523809524
74,Everton,8668.0,2008/2009,60,Balanced,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,77.65714285714286,84.0
75,Everton,8668.0,2009/2010,60,Balanced,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,78.3,82.0
76,Everton,8668.0,2010/2011,60,Balanced,Little,50,Mixed,Organised,55,Normal,70,Lots,55,Normal,Organised,55,Medium,65,Press,60,Normal,Cover,77.51,81.0
77,Everton,8668.0,2011/2012,56,Balanced,Little,56,Mixed,Organised,48,Normal,57,Normal,56,Normal,Organised,50,Medium,50,Press,60,Normal,Cover,76.52,80.0
78,Everton,8668.0,2012/2013,58,Balanced,Little,62,Mixed,Organised,48,Normal,59,Normal,32,Little,Organised,41,Medium,44,Press,59,Normal,Cover,77.32222222222222,81.0
79,Everton,8668.0,2013/2014,58,Balanced,Little,62,Mixed,Organised,48,Normal,59,Normal,32,Little,Organised,41,Medium,44,Press,59,Normal,Cover,77.64375,81.0
80,Everton,8668.0,2014/2015,61,Balanced,Normal,42,Mixed,Organised,39,Normal,59,Normal,48,Normal,Organised,52,Medium,58,Press,60,Normal,Cover,77.95555555555555,79.5
81,Everton,8668.0,2015/2016,43,Balanced,Normal,40,Mixed,Organised,39,Normal,33,Little,63,Normal,Organised,52,Medium,58,Press,59,Normal,Cover,78.07894736842105,77.47368421052632
82,Blackburn Rovers,8655.0,2008/2009,55,Balanced,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover,75.16666666666667,76.71428571428571
83,Blackburn Rovers,8655.0,2009/2010,55,Balanced,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover,74.54444444444445,77.0
84,Blackburn Rovers,8655.0,2010/2011,55,Balanced,Little,65,Mixed,Organised,50,Normal,50,Normal,35,Normal,Organised,45,Medium,60,Press,55,Normal,Cover,75.3,79.0
85,Blackburn Rovers,8655.0,2011/2012,57,Balanced,Little,57,Mixed,Organised,55,Normal,45,Normal,40,Normal,Organised,42,Medium,50,Press,38,Normal,Cover,73.12,76.7
86,Middlesbrough,8549.0,2008/2009,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,74.13125,73.0
87,Tottenham Hotspur,8586.0,2008/2009,70,Fast,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,77.76875,74.375
88,Tottenham Hotspur,8586.0,2009/2010,70,Fast,Little,50,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover,79.40714285714286,80.92857142857143
89,Tottenham Hotspur,8586.0,2010/2011,60,Balanced,Little,55,Mixed,Free Form,70,Risky,70,Lots,70,Lots,Organised,30,Deep,40,Press,60,Normal,Cover,80.42,79.8
90,Tottenham Hotspur,8586.0,2011/2012,44,Balanced,Little,47,Mixed,Organised,52,Normal,63,Normal,61,Normal,Organised,43,Medium,44,Press,51,Normal,Cover,81.1,81.0
91,Tottenham Hotspur,8586.0,2012/2013,42,Balanced,Little,46,Mixed,Organised,45,Normal,58,Normal,68,Lots,Organised,63,Medium,61,Press,57,Normal,Cover,79.78888888888889,83.33333333333333
92,Tottenham Hotspur,8586.0,2013/2014,42,Balanced,Little,46,Mixed,Organised,45,Normal,58,Normal,68,Lots,Organised,63,Medium,61,Press,57,Normal,Cover,,83.6875
93,Tottenham Hotspur,8586.0,2014/2015,41,Balanced,Normal,38,Mixed,Organised,41,Normal,59,Normal,62,Normal,Organised,58,Medium,51,Press,56,Normal,Cover,,84.33333333333333
94,Tottenham Hotspur,8586.0,2015/2016,47,Balanced,Normal,40,Mixed,Organised,41,Normal,41,Normal,63,Normal,Organised,63,Medium,54,Press,56,Normal,Cover,,85.0
95,Bolton Wanderers,8559.0,2008/2009,55,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,73.71052631578948,80.0
96,Bolton Wanderers,8559.0,2009/2010,55,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,72.21818181818182,80.0
97,Bolton Wanderers,8559.0,2010/2011,45,Balanced,Little,70,Long,Organised,55,Normal,70,Lots,50,Normal,Organised,40,Medium,55,Press,50,Normal,Cover,74.6,79.0
98,Bolton Wanderers,8559.0,2011/2012,57,Balanced,Little,56,Mixed,Organised,45,Normal,54,Normal,54,Normal,Organised,48,Medium,48,Press,58,Normal,Cover,72.24285714285715,73.57142857142857
99,Stoke City,10194.0,2008/2009,65,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,70.38888888888889,74.33333333333333
100,Stoke City,10194.0,2009/2010,65,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,73.2,74.0
101,Stoke City,10194.0,2010/2011,50,Balanced,Little,80,Long,Organised,30,Safe,70,Lots,35,Normal,Organised,25,Deep,65,Press,50,Normal,Cover,74.77777777777777,75.0
102,Stoke City,10194.0,2011/2012,75,Fast,Little,75,Long,Organised,40,Normal,72,Lots,55,Normal,Organised,50,Medium,58,Press,45,Normal,Cover,75.2625,75.5
103,Stoke City,10194.0,2012/2013,75,Fast,Little,73,Long,Organised,59,Normal,61,Normal,38,Normal,Organised,32,Deep,37,Press,41,Normal,Cover,74.88,79.0
104,Stoke City,10194.0,2013/2014,75,Fast,Little,73,Long,Organised,59,Normal,61,Normal,38,Normal,Organised,32,Deep,37,Press,41,Normal,Cover,74.21428571428571,78.92857142857143
105,Stoke City,10194.0,2014/2015,48,Balanced,Little,55,Mixed,Organised,51,Normal,57,Normal,37,Normal,Organised,38,Medium,40,Press,41,Normal,Cover,74.31111111111112,80.5
106,Stoke City,10194.0,2015/2016,48,Balanced,Normal,49,Mixed,Organised,51,Normal,59,Normal,49,Normal,Organised,44,Medium,37,Press,51,Normal,Cover,76.35454545454546,76.0909090909091
107,Hull City,8667.0,2008/2009,65,Balanced,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,71.98333333333333,74.16666666666667
108,Hull City,8667.0,2009/2010,65,Balanced,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover,70.1923076923077,70.76923076923077
109,Hull City,8667.0,2013/2014,63,Balanced,Little,48,Mixed,Organised,38,Normal,60,Normal,54,Normal,Organised,34,Medium,37,Press,46,Normal,Cover,71.675,71.25
110,Hull City,8667.0,2014/2015,56,Balanced,Normal,51,Mixed,Organised,54,Normal,60,Normal,48,Normal,Organised,38,Medium,37,Press,46,Normal,Cover,72.60555555555555,71.11111111111111
111,Fulham,9879.0,2008/2009,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,75.52857142857142,77.0
112,Fulham,9879.0,2009/2010,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,76.02307692307693,79.0
113,Fulham,9879.0,2010/2011,50,Balanced,Little,55,Mixed,Organised,45,Normal,55,Normal,40,Normal,Organised,45,Medium,35,Press,50,Normal,Cover,76.42,80.0
114,Fulham,9879.0,2011/2012,48,Balanced,Little,45,Mixed,Organised,38,Normal,62,Normal,54,Normal,Organised,38,Medium,38,Press,62,Normal,Cover,75.85555555555555,78.44444444444444
115,Fulham,9879.0,2012/2013,52,Balanced,Little,49,Mixed,Organised,49,Normal,56,Normal,59,Normal,Organised,39,Medium,39,Press,57,Normal,Cover,75.95,79.0
116,Fulham,9879.0,2013/2014,52,Balanced,Little,49,Mixed,Organised,49,Normal,56,Normal,59,Normal,Organised,39,Medium,39,Press,57,Normal,Cover,74.86,76.0
117,Chelsea,8455.0,2008/2009,70,Fast,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,83.29411764705883,87.3529411764706
118,Chelsea,8455.0,2009/2010,70,Fast,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,83.77058823529411,84.3529411764706
119,Chelsea,8455.0,2010/2011,60,Balanced,Little,50,Mixed,Free Form,60,Normal,60,Normal,80,Lots,Free Form,35,Medium,55,Press,50,Normal,Cover,82.7,84.0
120,Chelsea,8455.0,2011/2012,60,Balanced,Little,45,Mixed,Organised,55,Normal,45,Normal,45,Normal,Organised,60,Medium,62,Press,46,Normal,Cover,81.57777777777778,82.77777777777777
121,Chelsea,8455.0,2012/2013,46,Balanced,Little,41,Mixed,Organised,46,Normal,61,Normal,63,Normal,Organised,42,Medium,43,Press,46,Normal,Cover,81.33333333333333,83.0
122,Chelsea,8455.0,2013/2014,46,Balanced,Little,41,Mixed,Organised,46,Normal,61,Normal,63,Normal,Organised,42,Medium,43,Press,46,Normal,Cover,81.32105263157895,83.52631578947368
123,Chelsea,8455.0,2014/2015,67,Fast,Normal,38,Mixed,Organised,41,Normal,61,Normal,68,Lots,Organised,39,Medium,41,Press,46,Normal,Cover,82.66842105263157,85.84210526315789
124,Chelsea,8455.0,2015/2016,67,Fast,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Organised,39,Medium,41,Press,46,Normal,Cover,82.4,84.82352941176471
125,Portsmouth,8462.0,2008/2009,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,75.8375,82.0
126,Portsmouth,8462.0,2009/2010,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,72.52857142857142,77.21428571428571
127,Birmingham City,8658.0,2009/2010,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,76.97142857142858,79.0
128,Birmingham City,8658.0,2010/2011,45,Balanced,Little,60,Mixed,Organised,35,Normal,50,Normal,40,Normal,Organised,30,Deep,60,Press,45,Normal,Cover,75.65,80.0
129,Wolverhampton Wanderers,8602.0,2009/2010,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,69.81666666666666,73.58333333333333
130,Wolverhampton Wanderers,8602.0,2010/2011,55,Balanced,Little,55,Mixed,Organised,60,Normal,60,Normal,45,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,71.3,73.4
131,Wolverhampton Wanderers,8602.0,2011/2012,67,Fast,Little,68,Long,Organised,42,Normal,68,Lots,56,Normal,Organised,48,Medium,60,Press,45,Normal,Cover,73.3625,76.125
132,Burnley,8191.0,2009/2010,70,Fast,Little,65,Mixed,Organised,70,Risky,70,Lots,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,73.09302325581395,76.0
133,Burnley,8191.0,2014/2015,48,Balanced,Little,74,Long,Organised,72,Risky,59,Normal,58,Normal,Organised,54,Medium,57,Press,58,Normal,Cover,70.53157894736842,72.0
134,Blackpool,8483.0,2010/2011,70,Fast,Little,30,Short,Organised,65,Normal,30,Little,65,Normal,Organised,45,Medium,50,Press,45,Normal,Cover,73.5,71.5
135,Swansea City,10003.0,2011/2012,26,Slow,Little,24,Short,Organised,62,Normal,39,Normal,57,Normal,Free Form,48,Medium,58,Press,60,Normal,Cover,72.13084112149532,81.0
136,Swansea City,10003.0,2012/2013,41,Balanced,Little,39,Mixed,Organised,36,Normal,42,Normal,44,Normal,Free Form,52,Medium,58,Press,57,Normal,Cover,74.07,77.4
137,Swansea City,10003.0,2013/2014,41,Balanced,Little,39,Mixed,Organised,36,Normal,42,Normal,44,Normal,Free Form,52,Medium,58,Press,57,Normal,Cover,75.34,78.13333333333334
138,Swansea City,10003.0,2014/2015,63,Balanced,Normal,34,Mixed,Organised,34,Normal,51,Normal,36,Normal,Free Form,51,Medium,58,Press,54,Normal,Cover,74.8125,77.0
139,Swansea City,10003.0,2015/2016,45,Balanced,Normal,42,Mixed,Organised,34,Normal,36,Normal,55,Normal,Free Form,31,Deep,47,Press,42,Normal,Cover,76.54444444444445,77.66666666666667
140,Queens Park Rangers,10172.0,2011/2012,57,Balanced,Little,58,Mixed,Organised,60,Normal,48,Normal,48,Normal,Organised,42,Medium,51,Press,44,Normal,Cover,72.3,74.57142857142857
